98 ;  Rucker, Frostee ; DT ; ACT ;  6'3" ; 261 ; 9/14/1983 ; 13 ; USC ; 
47 ;  Sieg, Trent ; LS ; ACT ;  6'3" ; 240 ; 5/19/1995 ; 0 ; Colorado State ; 
41 ;  Smith, Keith ; RB ; ACT ;  6'0" ; 240 ; 4/8/1992 ; 4 ; San Jose State ; 
86 ;  Smith, Lee ; TE ; ACT ;  6'6" ; 265 ; 11/21/1987 ; 8 ; Marshall ; 
5 ;  Townsend, Johnny ; P ; ACT ;  6'1" ; 210 ; 2/14/1995 ; 0 ; Florida ; 
94 ;  Vanderdoes, Eddie ; DT ; PUP ;  6'3" ; 305 ; 10/13/1994 ; 2 ; UCLA ; 
34 ;  Warren, Chris ; RB ; RES ;  6'2" ; 246 ; 6/6/1996 ; 0 ; Texas ; 
33 ;  Washington, DeAndre ; RB ; ACT ;  5'8" ; 205 ; 2/22/1993 ; 3 ; Texas Tech ; 
59 ;  Whitehead, Tahir ; LB ; ACT ;  6'2" ; 241 ; 4/2/1990 ; 7 ; Temple ; 
58 ;  Wilber, Kyle ; LB ; ACT ;  6'4" ; 245 ; 4/26/1989 ; 7 ; Wake Forest ; 
36 ; Worley, Daryl ; CB ; SUS ; 6'1" ; 205 ; 2/22/1995 ; 3 ; West Virginia ; 
